acks,batch_records,inflight,target_rate,records,value_bytes,elapsed_secs,records_per_sec,payload_mb_per_sec,p50_batch_us,p99_batch_us
written,1,1,0,20000,100,0.918,21780,2.18,43.2,92.0
written,10,1,0,100000,100,0.594,168472,16.85,53.8,98.0
written,100,1,0,500000,100,0.950,526127,52.61,140.1,3667.0
written,1000,1,0,1000000,100,1.809,552783,55.28,1090.1,6179.1
durable,1,1,0,1000,100,10.960,91,0.01,10991.3,12079.3
durable,10,1,0,10000,100,10.996,909,0.09,10997.9,12979.4
durable,100,1,0,100000,100,12.137,8239,0.82,12029.5,13841.5
durable,1000,1,0,500000,100,8.957,55823,5.58,17708.5,27500.8
written,100,2,0,500000,100,0.843,593090,59.31,215.1,4569.0
written,100,4,0,500000,100,0.809,618171,61.82,433.2,4855.8
written,100,8,0,500000,100,0.812,616114,61.61,879.6,5328.9
written,100,16,0,500000,100,0.774,645760,64.58,1711.1,6245.8
written,100,1,100000,500000,100,5.002,99964,10.00,3515.4,7143.3
written,100,1,400000,500000,100,1.251,399553,39.96,2392.5,5937.9
durable,1000,1,20000,200000,100,9.973,20054,2.01,26501.0,84877.9
durable,1000,1,40000,200000,100,5.000,39999,4.00,20927.5,28015.6
