acks,rf,batch_records,inflight,partitions,connections,target_rate,records,value_bytes,elapsed_secs,records_per_sec,payload_mb_per_sec,p50_batch_us,p99_batch_us
none,3,100,1,1,1,0,500000,100,0.947,528251,52.83,0.0,0.0
none,3,1000,1,1,1,0,1000000,100,2.068,483669,48.37,0.0,0.0
written,3,1,1,1,1,0,20000,100,1.282,15600,1.56,61.0,110.0
written,3,100,1,1,1,0,500000,100,2.399,208390,20.84,294.6,4972.7
written,3,1000,1,1,1,0,1000000,100,5.314,188186,18.82,3919.8,18077.2
durable,3,1,1,1,1,0,1000,100,14.692,68,0.01,14746.1,23283.5
durable,3,100,1,1,1,0,100000,100,18.778,5325,0.53,18044.6,26680.3
durable,3,1000,1,1,1,0,500000,100,10.320,48449,4.84,21792.0,29078.2
all,3,1,1,1,1,0,3000,100,0.759,3953,0.40,123.0,485.5
all,3,100,1,1,1,0,100000,100,1.136,88022,8.80,540.5,16827.7
all,3,1000,1,1,1,0,500000,100,6.272,79722,7.97,12873.1,21549.5
written,1,100,1,1,1,0,500000,100,1.202,415943,41.59,181.2,3833.3
durable,1,100,1,1,1,0,100000,100,12.961,7715,0.77,12833.5,16678.7
all,1,100,1,1,1,0,500000,100,1.044,478906,47.89,144.0,3867.2
all,3,100,2,1,1,0,200000,100,1.939,103121,10.31,780.9,20994.4
all,3,100,4,1,1,0,300000,100,4.908,61125,6.11,1795.8,25706.5
all,3,100,8,1,1,0,500000,100,8.374,59709,5.97,13361.2,26883.8
