second,partition,acked
1,0,140
1,1,75
2,0,145
2,1,145
3,0,140
3,1,140
4,0,145
4,1,145
5,0,145
5,1,145
6,0,145
6,1,145
7,0,145
7,1,145
8,0,145
8,1,145
9,0,150
9,1,145
10,0,145
10,1,150
11,0,145
11,1,145
12,0,150
12,1,145
13,0,145
13,1,150
14,0,145
14,1,145
15,0,145
15,1,145
16,0,145
16,1,145
17,0,145
17,1,145
18,0,145
18,1,145
19,0,145
19,1,145
20,0,145
20,1,145
21,0,140
21,1,140
22,0,140
22,1,140
23,0,145
23,1,145
24,0,145
24,1,145
25,0,145
25,1,145
26,0,145
26,1,145
27,0,145
27,1,145
28,0,150
28,1,150
29,0,145
29,1,145
30,0,145
30,1,145
