second,partition,acked
1,0,155
1,1,155
2,0,150
2,1,150
3,0,150
3,1,150
4,0,125
4,1,155
5,0,30
5,1,150
6,0,150
6,1,150
7,0,150
7,1,150
8,0,150
8,1,150
9,0,150
9,1,150
10,0,150
10,1,150
11,0,145
11,1,145
12,0,155
12,1,155
13,0,150
13,1,150
14,0,150
14,1,150
15,0,150
15,1,150
16,0,150
16,1,150
17,0,150
17,1,150
18,0,150
18,1,150
19,0,150
19,1,150
20,0,150
20,1,150
21,0,150
21,1,150
22,0,150
22,1,150
23,0,150
23,1,150
24,0,150
24,1,150
25,0,150
25,1,150
26,0,150
26,1,150
27,0,150
27,1,150
28,0,150
28,1,150
29,0,150
29,1,150
30,0,150
30,1,150
31,0,150
31,1,150
32,0,150
32,1,150
33,0,150
33,1,150
34,0,150
34,1,150
35,0,150
35,1,150
36,0,150
36,1,150
37,0,150
37,1,150
38,0,150
38,1,150
39,0,145
39,1,145
40,0,150
40,1,150
41,0,150
41,1,150
42,0,135
42,1,135
43,0,150
43,1,150
44,0,155
44,1,155
45,0,150
45,1,150
46,0,150
46,1,150
47,0,150
47,1,150
48,0,150
48,1,150
49,0,150
49,1,150
50,0,150
50,1,150
51,0,150
51,1,150
52,0,150
52,1,150
53,0,150
53,1,150
54,0,145
54,1,145
55,0,150
55,1,150
56,0,145
56,1,145
57,0,155
57,1,155
58,0,150
58,1,150
59,0,150
59,1,150
60,0,150
60,1,0
61,0,150
61,1,150
62,0,150
62,1,150
63,0,150
63,1,150
64,0,150
64,1,150
65,0,150
65,1,150
66,0,150
66,1,150
67,0,150
67,1,150
68,0,150
68,1,150
69,0,150
69,1,150
