second,partition,acked
1,0,145
1,1,120
2,0,145
2,1,145
3,0,45
3,1,45
4,0,100
4,1,100
5,0,145
5,1,145
6,0,145
6,1,145
7,0,150
7,1,150
8,0,140
8,1,140
9,0,150
9,1,145
10,0,145
10,1,150
11,0,145
11,1,145
12,0,120
12,1,120
13,0,0
13,1,0
14,0,0
14,1,30
15,0,140
15,1,140
16,0,145
16,1,145
17,0,145
17,1,145
18,0,145
18,1,145
19,0,140
19,1,140
20,0,140
20,1,140
21,0,115
21,1,110
22,0,35
22,1,0
23,0,145
23,1,0
24,0,140
24,1,0
25,0,140
25,1,0
26,0,145
26,1,0
27,0,150
27,1,30
28,0,145
28,1,145
29,0,145
29,1,145
30,0,130
30,1,130
31,0,0
31,1,0
32,0,0
32,1,0
33,0,0
33,1,0
34,0,0
34,1,80
35,0,85
35,1,140
36,0,150
36,1,150
37,0,150
37,1,150
38,0,135
38,1,135
39,0,145
39,1,145
40,0,140
40,1,135
41,0,150
41,1,145
42,0,145
42,1,145
43,0,145
43,1,140
44,0,145
44,1,150
45,0,140
45,1,140
46,0,145
46,1,145
47,0,140
47,1,140
48,0,75
48,1,75
49,0,0
49,1,0
50,0,0
50,1,0
51,0,0
51,1,0
52,0,130
52,1,145
53,0,145
53,1,145
54,0,145
54,1,145
55,0,145
55,1,145
56,0,140
56,1,140
57,0,145
57,1,145
58,0,60
58,1,60
59,0,90
59,1,65
60,0,140
60,1,140
61,0,145
61,1,145
62,0,140
62,1,140
63,0,140
63,1,140
64,0,145
64,1,145
65,0,140
65,1,140
66,0,150
66,1,150
67,0,140
67,1,145
