second,partition,acked
1,0,50
1,1,145
2,0,140
2,1,140
3,0,150
3,1,150
4,0,145
4,1,145
5,0,140
5,1,140
6,0,150
6,1,150
7,0,145
7,1,145
8,0,145
8,1,145
9,0,145
9,1,145
10,0,70
10,1,70
11,0,0
11,1,5
12,0,5
12,1,5
13,0,150
13,1,150
14,0,145
14,1,145
15,0,150
15,1,150
16,0,145
16,1,145
17,0,145
17,1,145
18,0,145
18,1,145
19,0,140
19,1,140
20,0,150
20,1,150
21,0,140
21,1,145
22,0,150
22,1,145
23,0,150
23,1,150
24,0,145
24,1,150
25,0,150
25,1,145
26,0,145
26,1,145
27,0,145
27,1,145
28,0,145
28,1,140
29,0,145
29,1,150
30,0,145
30,1,145
31,0,145
31,1,145
32,0,145
32,1,145
33,0,145
33,1,145
34,0,145
34,1,145
35,0,150
35,1,150
36,0,40
36,1,40
37,0,0
37,1,10
38,0,110
38,1,150
39,0,140
39,1,145
40,0,150
40,1,150
41,0,145
41,1,150
42,0,145
42,1,145
43,0,145
43,1,150
44,0,145
44,1,145
45,0,145
45,1,145
46,0,150
46,1,150
47,0,145
47,1,145
48,0,145
48,1,145
49,0,150
49,1,150
50,0,145
50,1,145
51,0,150
51,1,150
52,0,145
52,1,145
53,0,145
53,1,145
54,0,150
54,1,150
55,0,145
55,1,145
56,0,145
56,1,150
57,0,150
57,1,145
58,0,145
58,1,145
59,0,145
59,1,145
60,0,115
60,1,115
61,0,0
61,1,35
62,0,30
62,1,155
63,0,150
63,1,150
64,0,140
64,1,140
65,0,145
65,1,150
66,0,145
66,1,145
67,0,145
67,1,145
68,0,150
68,1,150
69,0,140
69,1,140
70,0,150
70,1,150
71,0,145
71,1,145
72,0,145
72,1,145
73,0,145
73,1,145
74,0,150
74,1,150
75,0,145
75,1,145
76,0,145
76,1,150
