second,partition,acked
1,0,45
1,1,145
2,0,130
2,1,125
3,0,0
3,1,0
4,0,0
4,1,0
5,0,0
5,1,0
6,0,0
6,1,0
7,0,30
7,1,0
8,0,145
8,1,140
9,0,145
9,1,150
10,0,150
10,1,145
11,0,150
11,1,150
12,0,150
12,1,150
13,0,145
13,1,145
14,0,150
14,1,150
15,0,145
15,1,145
16,0,145
16,1,145
17,0,140
17,1,145
18,0,100
18,1,95
19,0,0
19,1,0
20,0,0
20,1,0
21,0,0
21,1,0
22,0,70
22,1,0
23,0,150
23,1,0
24,0,150
24,1,140
25,0,145
25,1,145
26,0,145
26,1,145
27,0,105
27,1,110
28,0,0
28,1,0
29,0,0
29,1,0
30,0,0
30,1,0
31,0,0
31,1,0
32,0,145
32,1,125
33,0,150
33,1,145
34,0,145
34,1,140
35,0,0
35,1,5
36,0,145
36,1,145
37,0,145
37,1,145
38,0,145
38,1,145
39,0,150
39,1,150
40,0,145
40,1,145
41,0,145
41,1,145
42,0,140
42,1,140
43,0,145
43,1,145
44,0,45
44,1,45
45,0,0
45,1,0
46,0,0
46,1,0
47,0,60
47,1,55
48,0,150
48,1,150
49,0,150
49,1,150
50,0,145
50,1,145
51,0,145
51,1,145
52,0,140
52,1,140
53,0,40
53,1,45
54,0,0
54,1,115
55,0,110
55,1,145
56,0,145
56,1,145
57,0,145
57,1,145
58,0,150
58,1,150
59,0,145
59,1,145
60,0,150
60,1,150
61,0,145
61,1,145
62,0,145
62,1,145
63,0,150
63,1,150
64,0,145
64,1,145
65,0,145
65,1,145
66,0,30
66,1,30
67,0,0
67,1,0
68,0,0
68,1,0
69,0,0
69,1,0
70,0,40
70,1,35
71,0,140
71,1,145
72,0,145
72,1,145
73,0,145
73,1,145
74,0,145
74,1,145
75,0,145
75,1,145
76,0,140
76,1,140
77,0,145
77,1,145
78,0,145
78,1,145
79,0,145
79,1,145
80,0,35
80,1,35
81,0,90
81,1,90
82,0,145
82,1,145
83,0,145
83,1,140
84,0,145
84,1,145
85,0,150
85,1,150
86,0,150
86,1,150
87,0,145
87,1,145
88,0,110
88,1,110
89,0,40
89,1,40
90,0,150
90,1,150
91,0,145
91,1,145
92,0,145
92,1,145
93,0,145
93,1,145
94,0,145
94,1,145
95,0,145
95,1,145
96,0,145
96,1,145
97,0,140
97,1,145
98,0,120
98,1,115
99,0,0
99,1,0
100,0,0
100,1,0
101,0,0
101,1,0
102,0,0
102,1,0
103,0,20
103,1,25
104,0,145
104,1,145
105,0,140
105,1,140
106,0,145
106,1,145
107,0,100
107,1,100
108,0,50
108,1,50
109,0,145
109,1,145
110,0,140
110,1,140
111,0,145
111,1,145
112,0,145
112,1,145
113,0,145
113,1,145
114,0,145
114,1,145
115,0,145
115,1,145
116,0,145
116,1,145
117,0,15
117,1,15
118,0,140
118,1,140
119,0,150
119,1,150
120,0,145
120,1,145
121,0,140
121,1,140
122,0,145
122,1,145
123,0,150
123,1,150
124,0,145
124,1,145
