fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
isolate,0,1.549,93,3729,0,follower,,-1,865,973
isolate,0,1.549,93,3729,1,leader,1274,1,1904,2010
pause,1,10.893,26,3072,0,follower,,-1,1019,1029
pause,1,10.893,26,3072,1,leader,2073,0,2033,2041
kill,0,16.550,263,4500,0,follower,,-1,691,948
kill,0,16.550,263,4500,1,leader,801,1,1702,1957
kill,1,27.361,304,5212,0,follower,,-1,758,1062
kill,1,27.361,304,5212,1,leader,1025,0,1790,2093
pause,1,37.721,49,5648,0,follower,,-1,900,923
pause,1,37.721,49,5648,1,follower,,-1,1189,1236
pause,0,46.718,41,5691,0,follower,,-1,897,934
pause,0,46.718,41,5691,1,leader,2066,1,1934,1971
isolate,2,55.255,76,3604,0,leader,3284,0,3816,3901
isolate,2,55.255,76,3604,1,follower,,-1,3796,2865
kill,2,63.928,290,5889,0,follower,,-1,1119,1409
kill,2,63.928,290,5889,1,follower,,-1,1121,995
isolate,2,75.928,84,3079,0,follower,,-1,1143,1225
isolate,2,75.928,84,3079,1,follower,,-1,1120,961
kill,1,84.971,313,4556,0,follower,,-1,3950,4262
kill,1,84.971,313,4556,1,leader,4431,0,4930,5241
isolate,0,93.885,72,5439,0,leader,4449,2,5731,5806
isolate,0,93.885,72,5439,1,leader,4449,1,5850,5926
pause,1,103.243,30,4915,0,follower,,-1,939,968
pause,1,103.243,30,4915,1,leader,2063,0,1959,1987
kill,2,112.775,285,3026,0,leader,3153,0,3262,3528
kill,2,112.775,285,3026,1,follower,,-1,3263,2924
