second,partition,acked
1,0,140
1,1,140
2,0,140
2,1,140
3,0,135
3,1,135
4,0,135
4,1,135
5,0,135
5,1,135
6,0,140
6,1,140
7,0,145
7,1,145
8,0,145
8,1,145
9,0,140
9,1,140
10,0,135
10,1,135
11,0,140
11,1,140
12,0,140
12,1,140
13,0,135
13,1,135
14,0,140
14,1,140
15,0,135
15,1,135
16,0,140
16,1,140
17,0,135
17,1,135
18,0,140
18,1,140
19,0,140
19,1,140
20,0,135
20,1,135
21,0,140
21,1,140
22,0,140
22,1,140
23,0,140
23,1,140
24,0,140
24,1,140
25,0,135
25,1,135
26,0,140
26,1,140
27,0,135
27,1,135
28,0,140
28,1,140
29,0,135
29,1,135
30,0,140
30,1,140
