fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
isolate,0,2.387,97,5346,0,follower,,-1,7,40
isolate,0,2.387,97,5346,1,leader,4153,1,7,1069
isolate,0,32.080,82,4798,0,follower,,-1,7,43
isolate,0,32.080,82,4798,1,follower,,-1,7,38
isolate,2,39.475,101,5083,0,follower,,-1,15,39
isolate,2,39.475,101,5083,1,follower,,-1,15,37
isolate,1,51.432,97,5190,0,leader,3704,0,10,840
isolate,1,51.432,97,5190,1,leader,4446,0,10,2876
isolate,2,59.341,91,3797,0,follower,,-1,23,37
isolate,2,59.341,91,3797,1,follower,,-1,23,39
