second,partition,acked
1,0,150
1,1,150
2,0,145
2,1,145
3,0,145
3,1,145
4,0,150
4,1,150
5,0,145
5,1,145
6,0,155
6,1,95
7,0,155
7,1,50
8,0,150
8,1,155
9,0,150
9,1,150
10,0,150
10,1,150
11,0,150
11,1,150
12,0,145
12,1,145
13,0,150
13,1,150
14,0,150
14,1,150
15,0,145
15,1,145
16,0,150
16,1,150
17,0,145
17,1,145
18,0,150
18,1,150
19,0,145
19,1,145
20,0,150
20,1,150
21,0,145
21,1,145
22,0,150
22,1,150
23,0,145
23,1,145
24,0,150
24,1,150
25,0,150
25,1,150
26,0,145
26,1,145
27,0,150
27,1,150
28,0,150
28,1,150
29,0,145
29,1,145
30,0,150
30,1,150
31,0,145
31,1,145
32,0,150
32,1,150
33,0,145
33,1,145
34,0,150
34,1,150
35,0,145
35,1,145
36,0,150
36,1,150
37,0,150
37,1,150
38,0,145
38,1,145
39,0,150
39,1,150
40,0,145
40,1,145
41,0,145
41,1,145
42,0,140
42,1,140
43,0,145
43,1,145
44,0,145
44,1,145
45,0,155
45,1,155
46,0,150
46,1,150
47,0,145
47,1,145
48,0,150
48,1,150
49,0,150
49,1,145
50,0,145
50,1,150
51,0,145
51,1,145
52,0,150
52,1,150
53,0,150
53,1,150
54,0,145
54,1,0
55,0,60
55,1,0
56,0,120
56,1,20
57,0,155
57,1,155
58,0,150
58,1,150
59,0,150
59,1,150
60,0,145
60,1,145
61,0,140
61,1,140
62,0,145
62,1,145
63,0,145
63,1,145
64,0,150
64,1,150
65,0,145
65,1,145
66,0,150
66,1,150
67,0,150
67,1,145
68,0,145
68,1,150
69,0,145
69,1,145
70,0,150
70,1,150
