second,partition,acked
1,0,130
1,1,130
2,0,140
2,1,140
3,0,135
3,1,135
4,0,145
4,1,145
5,0,140
5,1,140
6,0,135
6,1,135
7,0,150
7,1,150
8,0,145
8,1,145
9,0,150
9,1,150
10,0,140
10,1,140
11,0,140
11,1,140
12,0,140
12,1,140
13,0,135
13,1,135
14,0,145
14,1,145
15,0,135
15,1,135
16,0,140
16,1,140
17,0,140
17,1,140
18,0,140
18,1,140
19,0,140
19,1,140
20,0,140
20,1,140
21,0,135
21,1,135
22,0,140
22,1,140
23,0,135
23,1,135
24,0,145
24,1,145
25,0,140
25,1,140
26,0,135
26,1,135
27,0,135
27,1,135
28,0,140
28,1,140
29,0,140
29,1,140
30,0,135
30,1,135
31,0,140
31,1,140
32,0,135
32,1,135
33,0,140
33,1,140
34,0,140
34,1,140
35,0,135
35,1,135
36,0,145
36,1,145
37,0,135
37,1,135
38,0,140
38,1,140
39,0,140
39,1,140
40,0,135
40,1,135
41,0,140
41,1,140
42,0,140
42,1,140
43,0,135
43,1,135
44,0,140
44,1,140
45,0,140
45,1,140
46,0,135
46,1,135
47,0,135
47,1,135
48,0,140
48,1,140
49,0,140
49,1,140
50,0,140
50,1,140
51,0,10
51,1,10
52,0,0
52,1,0
53,0,0
53,1,0
54,0,0
54,1,0
55,0,0
55,1,0
56,0,0
56,1,0
57,0,95
57,1,95
58,0,140
58,1,140
59,0,70
59,1,70
60,0,0
60,1,0
61,0,0
61,1,0
62,0,0
62,1,0
63,0,80
63,1,140
64,0,145
64,1,145
65,0,145
65,1,145
66,0,140
66,1,140
67,0,145
67,1,145
68,0,145
68,1,145
69,0,145
69,1,145
70,0,140
70,1,140
71,0,140
71,1,140
72,0,140
72,1,140
73,0,135
73,1,135
74,0,140
74,1,140
75,0,140
75,1,140
76,0,140
76,1,140
77,0,135
77,1,135
78,0,145
78,1,145
