second,partition,acked
1,0,140
1,1,140
2,0,140
2,1,140
3,0,135
3,1,135
4,0,140
4,1,140
5,0,135
5,1,135
6,0,140
6,1,140
7,0,140
7,1,140
8,0,140
8,1,140
9,0,140
9,1,140
10,0,145
10,1,70
11,0,140
11,1,0
12,0,140
12,1,0
13,0,135
13,1,0
14,0,140
14,1,80
15,0,140
15,1,145
16,0,140
16,1,140
17,0,140
17,1,140
18,0,145
18,1,145
19,0,135
19,1,135
20,0,140
20,1,140
21,0,135
21,1,135
22,0,140
22,1,140
23,0,145
23,1,145
24,0,140
24,1,140
25,0,105
25,1,105
26,0,130
26,1,130
27,0,120
27,1,125
28,0,140
28,1,140
29,0,130
29,1,130
30,0,140
30,1,140
31,0,135
31,1,135
32,0,140
32,1,140
33,0,135
33,1,135
34,0,135
34,1,135
35,0,120
35,1,120
36,0,115
36,1,115
37,0,125
37,1,125
38,0,140
38,1,140
39,0,140
39,1,140
40,0,135
40,1,135
41,0,140
41,1,140
42,0,135
42,1,135
43,0,140
43,1,140
44,0,135
44,1,135
45,0,40
45,1,40
46,0,0
46,1,0
47,0,0
47,1,0
48,0,0
48,1,0
49,0,0
49,1,0
50,0,0
50,1,0
51,0,65
51,1,65
52,0,150
52,1,140
53,0,145
53,1,140
54,0,140
54,1,140
55,0,140
55,1,140
56,0,135
56,1,135
57,0,150
57,1,150
58,0,150
58,1,150
59,0,145
59,1,145
60,0,135
60,1,135
61,0,140
61,1,140
62,0,140
62,1,140
63,0,145
63,1,145
64,0,140
64,1,140
65,0,140
65,1,140
66,0,135
66,1,135
67,0,140
67,1,140
68,0,140
68,1,140
69,0,145
69,1,145
70,0,140
70,1,140
71,0,135
71,1,135
72,0,145
72,1,145
73,0,140
73,1,140
74,0,140
74,1,140
75,0,140
75,1,140
