fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
isolate,0,1.561,102,3729,0,leader,,-1,22,56
isolate,0,1.561,102,3729,1,follower,,-1,22,56
pause,1,17.548,65,3072,0,follower,,-1,26,44
pause,1,17.548,65,3072,1,follower,,-1,26,44
kill,0,22.858,421,4500,0,leader,3402,2,3655,4072
kill,0,22.858,421,4500,1,follower,,-1,3652,64
kill,1,41.911,467,5212,0,follower,,-1,31,43
kill,1,41.911,467,5212,1,follower,,-1,31,44
pause,1,49.893,62,5648,0,follower,,-1,13,44
pause,1,49.893,62,5648,1,follower,,-1,13,43
pause,0,58.412,55,5691,0,follower,,-1,5,54
pause,0,58.412,55,5691,1,follower,,-1,5,54
isolate,2,86.724,114,3604,0,leader,4065,0,4267,4378
isolate,2,86.724,114,3604,1,leader,3388,0,4266,3605
kill,2,92.921,393,5889,0,follower,,-1,31,57
kill,2,92.921,393,5889,1,follower,,-1,31,58
isolate,2,117.141,113,3079,0,follower,,-1,2,43
isolate,2,117.141,113,3079,1,follower,,-1,2,43
