second,partition,acked
1,0,140
1,1,140
2,0,140
2,1,140
3,0,140
3,1,140
4,0,140
4,1,140
5,0,140
5,1,140
6,0,55
6,1,145
7,0,90
7,1,140
8,0,145
8,1,150
9,0,140
9,1,140
10,0,140
10,1,140
11,0,140
11,1,140
12,0,140
12,1,140
13,0,140
13,1,140
14,0,135
14,1,135
15,0,140
15,1,140
16,0,130
16,1,130
17,0,140
17,1,140
18,0,140
18,1,140
19,0,130
19,1,130
20,0,135
20,1,135
21,0,135
21,1,135
22,0,135
22,1,135
23,0,60
23,1,135
24,0,0
24,1,135
25,0,0
25,1,145
26,0,0
26,1,130
27,0,75
27,1,145
28,0,140
28,1,140
29,0,140
29,1,140
30,0,135
30,1,135
31,0,135
31,1,135
32,0,135
32,1,135
33,0,135
33,1,135
34,0,140
34,1,140
35,0,140
35,1,140
36,0,130
36,1,130
37,0,135
37,1,135
38,0,140
38,1,140
39,0,135
39,1,135
40,0,140
40,1,140
41,0,135
41,1,135
42,0,140
42,1,140
43,0,140
43,1,140
44,0,135
44,1,135
45,0,140
45,1,140
46,0,135
46,1,135
47,0,140
47,1,140
48,0,145
48,1,145
49,0,140
49,1,140
50,0,135
50,1,135
51,0,130
51,1,130
52,0,130
52,1,130
53,0,130
53,1,130
54,0,125
54,1,125
55,0,130
55,1,130
56,0,135
56,1,135
57,0,135
57,1,135
58,0,135
58,1,135
59,0,135
59,1,135
60,0,135
60,1,135
61,0,130
61,1,130
62,0,130
62,1,130
63,0,135
63,1,135
64,0,135
64,1,135
65,0,145
65,1,145
66,0,145
66,1,145
67,0,145
67,1,145
68,0,140
68,1,140
69,0,140
69,1,140
70,0,140
70,1,140
71,0,135
71,1,135
72,0,140
72,1,140
73,0,135
73,1,135
74,0,140
74,1,140
75,0,140
75,1,140
76,0,140
76,1,140
77,0,140
77,1,140
78,0,140
78,1,140
79,0,140
79,1,140
80,0,140
80,1,140
81,0,135
81,1,135
82,0,135
82,1,135
83,0,140
83,1,140
84,0,140
84,1,140
85,0,140
85,1,140
86,0,140
86,1,140
87,0,85
87,1,85
88,0,0
88,1,0
89,0,0
89,1,0
90,0,0
90,1,0
91,0,5
91,1,115
92,0,145
92,1,145
93,0,145
93,1,145
94,0,135
94,1,135
95,0,140
95,1,140
96,0,135
96,1,135
97,0,140
97,1,140
98,0,140
98,1,140
99,0,140
99,1,140
100,0,140
100,1,140
101,0,140
101,1,140
102,0,135
102,1,135
103,0,135
103,1,135
104,0,140
104,1,140
105,0,135
105,1,135
106,0,140
106,1,140
107,0,135
107,1,135
108,0,140
108,1,140
109,0,135
109,1,135
110,0,135
110,1,135
111,0,135
111,1,135
112,0,140
112,1,140
113,0,135
113,1,135
114,0,135
114,1,135
115,0,140
115,1,140
116,0,135
116,1,135
117,0,140
117,1,140
118,0,135
118,1,135
119,0,135
119,1,135
120,0,135
120,1,135
121,0,140
121,1,140
