second,partition,acked
1,0,155
1,1,155
2,0,180
2,1,180
3,0,175
3,1,175
4,0,170
4,1,170
5,0,175
5,1,175
6,0,175
6,1,175
7,0,170
7,1,170
8,0,180
8,1,180
9,0,175
9,1,175
10,0,170
10,1,170
11,0,175
11,1,175
12,0,175
12,1,175
13,0,175
13,1,175
14,0,175
14,1,175
15,0,175
15,1,175
16,0,175
16,1,175
17,0,175
17,1,175
18,0,175
18,1,175
19,0,170
19,1,170
20,0,180
20,1,180
21,0,175
21,1,175
22,0,175
22,1,175
23,0,175
23,1,175
24,0,170
24,1,170
25,0,175
25,1,175
26,0,175
26,1,175
27,0,170
27,1,170
28,0,180
28,1,180
29,0,175
29,1,175
30,0,175
30,1,175
