second,partition,acked
1,0,165
1,1,165
2,0,185
2,1,185
3,0,180
3,1,180
4,0,180
4,1,180
5,0,180
5,1,180
6,0,180
6,1,180
7,0,180
7,1,180
8,0,180
8,1,180
9,0,165
9,1,180
10,0,180
10,1,185
11,0,185
11,1,180
12,0,185
12,1,185
13,0,180
13,1,180
14,0,180
14,1,180
15,0,180
15,1,180
16,0,180
16,1,180
17,0,180
17,1,180
18,0,175
18,1,175
19,0,180
19,1,180
20,0,185
20,1,185
21,0,180
21,1,180
22,0,180
22,1,180
23,0,185
23,1,185
24,0,175
24,1,175
25,0,180
25,1,180
26,0,180
26,1,180
27,0,180
27,1,180
28,0,180
28,1,180
29,0,185
29,1,185
30,0,180
30,1,180
31,0,180
31,1,180
32,0,185
32,1,185
33,0,180
33,1,180
34,0,180
34,1,180
35,0,180
35,1,180
36,0,175
36,1,175
37,0,165
37,1,165
38,0,185
38,1,185
39,0,180
39,1,180
40,0,180
40,1,180
41,0,180
41,1,180
42,0,185
42,1,185
43,0,180
43,1,180
44,0,180
44,1,180
45,0,180
45,1,180
46,0,185
46,1,185
47,0,180
47,1,180
48,0,180
48,1,180
49,0,180
49,1,180
50,0,180
50,1,180
51,0,180
51,1,180
52,0,180
52,1,180
53,0,180
53,1,180
54,0,180
54,1,180
55,0,185
55,1,185
56,0,180
56,1,180
57,0,175
57,1,175
58,0,185
58,1,185
59,0,180
59,1,180
60,0,180
60,1,180
61,0,180
61,1,180
62,0,180
62,1,180
63,0,185
63,1,185
64,0,180
64,1,180
65,0,180
65,1,180
66,0,160
66,1,160
