second,partition,acked
1,0,160
1,1,160
2,0,175
2,1,175
3,0,55
3,1,55
4,0,0
4,1,25
5,0,0
5,1,180
6,0,0
6,1,175
7,0,0
7,1,180
8,0,0
8,1,175
9,0,20
9,1,185
10,0,175
10,1,175
11,0,175
11,1,175
12,0,145
12,1,145
13,0,0
13,1,0
14,0,95
14,1,95
15,0,175
15,1,175
16,0,180
16,1,180
17,0,180
17,1,180
18,0,175
18,1,175
19,0,180
19,1,180
20,0,170
20,1,170
21,0,130
21,1,130
22,0,0
22,1,0
23,0,95
23,1,95
24,0,170
24,1,170
25,0,175
25,1,175
26,0,180
26,1,180
27,0,180
27,1,180
28,0,175
28,1,175
29,0,170
29,1,170
30,0,175
30,1,175
31,0,20
31,1,20
32,0,0
32,1,0
33,0,0
33,1,0
34,0,0
34,1,0
35,0,0
35,1,0
36,0,0
36,1,0
37,0,50
37,1,50
38,0,170
38,1,170
39,0,175
39,1,175
40,0,60
40,1,60
41,0,10
41,1,10
42,0,175
42,1,175
43,0,175
43,1,175
44,0,175
44,1,175
45,0,180
45,1,180
46,0,175
46,1,175
47,0,175
47,1,175
48,0,175
48,1,175
49,0,175
49,1,175
50,0,45
50,1,45
51,0,25
51,1,25
52,0,175
52,1,175
53,0,180
53,1,180
54,0,175
54,1,175
55,0,175
55,1,175
56,0,180
56,1,180
57,0,175
57,1,175
58,0,180
58,1,180
59,0,175
59,1,175
60,0,125
60,1,125
61,0,0
61,1,0
62,0,0
62,1,0
63,0,0
63,1,0
64,0,0
64,1,0
65,0,0
65,1,0
66,0,0
66,1,0
67,0,110
67,1,110
