second,partition,acked
1,0,160
1,1,160
2,0,175
2,1,175
3,0,175
3,1,175
4,0,170
4,1,170
5,0,170
5,1,170
6,0,175
6,1,175
7,0,170
7,1,170
8,0,170
8,1,170
9,0,180
9,1,180
10,0,90
10,1,90
11,0,0
11,1,0
12,0,150
12,1,0
13,0,175
13,1,0
14,0,180
14,1,0
15,0,170
15,1,0
16,0,180
16,1,0
17,0,175
17,1,0
18,0,170
18,1,0
19,0,180
19,1,0
20,0,175
20,1,0
21,0,175
21,1,0
22,0,175
22,1,0
23,0,180
23,1,0
24,0,180
24,1,0
25,0,175
25,1,70
26,0,175
26,1,175
27,0,175
27,1,175
28,0,170
28,1,170
29,0,180
29,1,180
30,0,170
30,1,170
31,0,180
31,1,180
32,0,175
32,1,175
33,0,175
33,1,175
34,0,175
34,1,175
35,0,160
35,1,160
36,0,0
36,1,0
37,0,65
37,1,0
38,0,170
38,1,0
39,0,180
39,1,0
40,0,175
40,1,0
41,0,175
41,1,0
42,0,170
42,1,0
43,0,180
43,1,0
44,0,175
44,1,0
45,0,175
45,1,0
46,0,175
46,1,0
47,0,180
47,1,0
48,0,180
48,1,0
49,0,180
49,1,0
50,0,175
50,1,0
51,0,180
51,1,135
52,0,170
52,1,170
53,0,175
53,1,175
54,0,175
54,1,175
55,0,175
55,1,175
56,0,175
56,1,175
57,0,175
57,1,175
58,0,175
58,1,175
59,0,175
59,1,175
60,0,175
60,1,175
