second,partition,acked
1,0,155
1,1,155
2,0,160
2,1,160
3,0,0
3,1,0
4,0,80
4,1,0
5,0,175
5,1,0
6,0,175
6,1,0
7,0,180
7,1,0
8,0,175
8,1,0
9,0,180
9,1,65
10,0,175
10,1,175
11,0,115
11,1,115
12,0,0
12,1,0
13,0,130
13,1,0
14,0,175
14,1,0
15,0,185
15,1,0
16,0,175
16,1,0
17,0,175
17,1,0
18,0,175
18,1,25
19,0,175
19,1,175
20,0,175
20,1,175
21,0,95
21,1,95
22,0,0
22,1,0
23,0,135
23,1,135
24,0,170
24,1,170
25,0,170
25,1,170
26,0,170
26,1,170
27,0,175
27,1,175
28,0,140
28,1,140
29,0,0
29,1,0
30,0,100
30,1,100
31,0,180
31,1,180
32,0,170
32,1,170
33,0,180
33,1,180
34,0,180
34,1,180
35,0,175
35,1,175
36,0,170
36,1,170
37,0,175
37,1,175
38,0,10
38,1,10
39,0,50
39,1,50
40,0,175
40,1,175
41,0,180
41,1,180
42,0,175
42,1,175
43,0,175
43,1,175
44,0,65
44,1,65
45,0,0
45,1,0
46,0,0
46,1,0
47,0,0
47,1,0
48,0,0
48,1,0
49,0,0
49,1,0
50,0,0
50,1,0
51,0,175
51,1,175
52,0,125
52,1,125
53,0,0
53,1,0
54,0,0
54,1,0
55,0,0
55,1,0
56,0,0
56,1,0
57,0,0
57,1,0
58,0,0
58,1,0
59,0,130
59,1,130
60,0,170
60,1,175
61,0,35
61,1,30
62,0,10
62,1,10
63,0,180
63,1,180
64,0,175
64,1,175
65,0,180
65,1,180
66,0,170
66,1,170
67,0,115
67,1,115
68,0,0
68,1,0
69,0,130
69,1,130
70,0,175
70,1,175
71,0,180
71,1,180
72,0,175
72,1,175
73,0,175
73,1,175
74,0,175
74,1,175
75,0,175
75,1,175
76,0,175
76,1,175
77,0,175
77,1,175
78,0,35
78,1,35
79,0,0
79,1,0
80,0,0
80,1,0
81,0,0
81,1,0
82,0,0
82,1,0
83,0,165
83,1,0
84,0,180
84,1,0
85,0,180
85,1,0
86,0,175
86,1,0
87,0,175
87,1,0
88,0,180
88,1,0
89,0,175
89,1,0
90,0,180
90,1,0
91,0,175
91,1,0
92,0,175
92,1,0
93,0,180
93,1,0
94,0,180
94,1,0
95,0,175
95,1,0
96,0,180
96,1,0
97,0,175
97,1,5
98,0,180
98,1,175
99,0,180
99,1,180
100,0,175
100,1,175
101,0,50
101,1,50
102,0,0
102,1,0
103,0,180
103,1,180
104,0,175
104,1,175
105,0,180
105,1,180
106,0,175
106,1,175
107,0,175
107,1,175
108,0,175
108,1,175
109,0,180
109,1,180
110,0,125
110,1,125
111,0,0
111,1,0
112,0,0
112,1,0
113,0,0
113,1,0
114,0,0
114,1,0
115,0,0
115,1,0
116,0,0
116,1,0
117,0,130
117,1,130
118,0,175
118,1,175
119,0,150
119,1,150
120,0,0
120,1,0
121,0,95
121,1,95
122,0,175
122,1,175
123,0,180
123,1,175
124,0,175
124,1,180
125,0,180
125,1,180
126,0,175
126,1,175
