fault,victim,t0_s,cli_ms,heal_after_ms,partition,role,leader_moved_ms,new_leader,first_ack_ms,max_gap_ms
kill,2,1.831,320,3951,0,follower,,-1,1326,1624
kill,2,1.831,320,3951,1,follower,,-1,1321,1535
isolate,0,9.518,80,4862,0,leader,1231,1,6702,6772
isolate,0,9.518,80,4862,1,follower,,-1,6686,1716
pause,2,20.113,40,4829,0,follower,,-1,1564,1581
pause,2,20.113,40,4829,1,follower,,-1,1558,1584
kill,0,27.579,265,4075,0,follower,,-1,1306,1549
kill,0,27.579,265,4075,1,follower,,-1,1298,1541
isolate,0,34.542,114,3218,0,follower,,-1,1543,1635
isolate,0,34.542,114,3218,1,follower,,-1,1535,1627
isolate,2,41.911,85,5241,0,follower,,-1,1662,1745
isolate,2,41.911,85,5241,1,follower,,-1,1662,1744
kill,2,52.435,301,3862,0,follower,,-1,1357,1632
kill,2,52.435,301,3862,1,follower,,-1,1349,1625
pause,2,59.856,53,3801,0,follower,,-1,1723,1753
pause,2,59.856,53,3801,1,follower,,-1,1722,1752
isolate,0,65.778,98,4561,0,follower,,-1,1507,1598
isolate,0,65.778,98,4561,1,follower,,-1,1501,1592
kill,1,76.217,338,4623,0,leader,843,0,6917,7236
kill,1,76.217,338,4623,1,leader,843,0,6917,7236
kill,0,85.226,303,3575,0,leader,1003,1,6948,7230
kill,0,85.226,303,3575,1,leader,1003,1,6948,7230
kill,1,95.894,245,4753,0,leader,1182,0,6886,7116
kill,1,95.894,245,4753,1,leader,1182,0,6886,7116
isolate,2,104.682,100,3305,0,follower,,-1,1688,1780
isolate,2,104.682,100,3305,1,follower,,-1,1685,1777
isolate,0,114.417,109,3573,0,leader,1098,1,6506,6601
isolate,0,114.417,109,3573,1,leader,1098,1,6506,6602
